id,event_type,event_cause,corridor,junction,zone,time_slot,requires_road_closure,daily_rain_mm,predicted_clearance_min,planned_impact_baseline,impact_score,impact_band
FKID003465,planned,construction,Non-corridor,,,midday,True,2.3,259.94498,100.0,84.2,High
FKID005136,planned,public_event,Non-corridor,,,morning_peak,True,2.3,39.154995,100.0,82.5,High
FKID002665,planned,construction,Non-corridor,,,night,True,2.3,199.291,100.0,81.1,High
FKID003965,planned,tree_fall,Non-corridor,,,morning_peak,True,2.3,85.033905,100.0,81.1,High
FKID001965,planned,construction,Non-corridor,,,night,True,2.3,88.130646,100.0,78.6,High
FKID004711,planned,public_event,Non-corridor,,West Zone 1,night,True,2.3,55.641136,100.0,78.5,High
FKID004640,planned,construction,Non-corridor,,North Zone 1,night,True,2.3,84.94333,100.0,78.5,High
FKID000834,planned,construction,Non-corridor,,,night,True,2.3,67.31385,100.0,78.1,High
FKID004823,planned,construction,Non-corridor,,East Zone 2,evening_peak,True,1.5,100.23321,100.0,78.0,High
FKID004641,planned,public_event,Non-corridor,,South Zone 2,morning_peak,True,1.5,59.659374,100.0,77.8,High
FKID001691,planned,public_event,Non-corridor,,,morning_peak,True,1.5,52.94534,100.0,77.6,High
FKID005877,planned,construction,Non-corridor,K H Road-SiddaiahRdJunc(BMTC-BigBazaar),Central Zone 2,night,True,1.5,239.16269,100.0,76.9,High
FKID005111,planned,construction,Non-corridor,,East Zone 2,evening_peak,True,1.5,49.52807,100.0,76.9,High
FKID004653,planned,construction,Non-corridor,,East Zone 2,evening_peak,True,1.5,44.62118,100.0,76.7,High
FKID005611,planned,construction,Non-corridor,,Central Zone 1,night,True,2.3,1.2957423,100.0,76.6,High
FKID001276,planned,construction,Non-corridor,,,midday,True,1.5,156.43729,100.0,76.5,High
FKID005652,planned,construction,Non-corridor,,East Zone 2,evening_peak,True,1.5,14.842233,100.0,76.0,High
FKID004272,planned,construction,Non-corridor,,East Zone 2,evening_peak,True,1.5,8.944817,100.0,75.9,High
FKID007787,planned,procession,Non-corridor,BEML GateJunc(SuranjandasRd),Central Zone 1,night,True,2.3,48.88071,100.0,75.9,High
FKID000988,planned,construction,Non-corridor,,,evening_peak,True,1.5,5.808804,100.0,75.8,High
FKID005389,planned,construction,Non-corridor,,Central Zone 1,morning_peak,True,1.5,1.4101825,100.0,75.7,High
FKID004996,planned,construction,Non-corridor,,Central Zone 1,evening_peak,True,1.5,1.5125213,100.0,75.7,High
FKID004467,planned,procession,Non-corridor,,West Zone 1,night,True,2.3,9.254986,100.0,75.0,High
FKID000922,planned,protest,Non-corridor,,,night,True,2.3,6.306664,100.0,74.9,High
FKID000921,planned,protest,Non-corridor,,,night,True,2.3,6.306664,100.0,74.9,High
FKID007932,planned,construction,Non-corridor,SadashivnagarJunc,,midday,True,1.5,54.043507,100.0,74.2,High
FKID003127,planned,public_event,Non-corridor,,,midday,True,1.5,10.136734,100.0,73.8,High
FKID007487,planned,public_event,Non-corridor,BinnyMillJunction,Central Zone 2,night,True,1.5,66.4723,100.0,73.5,High
FKID003180,planned,procession,Non-corridor,,,midday,True,1.5,96.46883,100.0,73.4,High
FKID005091,planned,construction,Non-corridor,,East Zone 2,night,True,1.5,86.33726,100.0,73.3,High
FKID000355,planned,construction,Non-corridor,,,night,True,1.5,81.155334,100.0,73.2,High
FKID001269,planned,construction,Non-corridor,,,midday,True,1.5,8.154009,100.0,73.1,High
FKID000468,planned,procession,Non-corridor,,,night,True,1.5,146.3864,100.0,72.9,High
FKID002224,planned,construction,Non-corridor,,,night,True,1.5,68.5775,100.0,72.9,High
FKID007991,planned,public_event,Non-corridor,KrishnaFlourMill,,night,True,1.5,36.020786,100.0,72.8,High
FKID007660,planned,construction,Non-corridor,UpparpetJunction,Central Zone 2,night,True,1.5,54.36098,100.0,72.6,High
FKID004910,planned,construction,Non-corridor,,Central Zone 1,night,True,1.5,50.79734,100.0,72.5,High
FKID007137,planned,construction,Non-corridor,BucheryJunction,Central Zone 1,night,True,1.5,24.837532,100.0,71.9,High
FKID004509,planned,procession,Non-corridor,,,night,True,1.5,101.78328,100.0,71.9,High
FKID000045,planned,construction,Non-corridor,,,night,True,1.5,20.645687,100.0,71.8,High
FKID004750,planned,procession,Non-corridor,,North Zone 2,night,True,1.5,95.4103,100.0,71.8,High
FKID005446,planned,construction,Non-corridor,,Central Zone 1,night,True,1.5,20.970633,100.0,71.8,High
FKID002039,planned,construction,Non-corridor,,,night,True,1.5,14.883771,100.0,71.6,High
FKID005405,planned,construction,Non-corridor,,Central Zone 1,night,True,1.5,8.120254,100.0,71.5,High
FKID000895,planned,construction,Non-corridor,,,night,True,1.5,5.255288,100.0,71.4,High
FKID000253,planned,construction,Non-corridor,,,night,True,1.5,4.152374,100.0,71.4,High
FKID004918,planned,construction,Non-corridor,,Central Zone 1,night,True,1.5,2.2515867,100.0,71.4,High
FKID005591,planned,construction,Non-corridor,,Central Zone 1,night,True,1.5,1.824817,100.0,71.3,High
FKID005403,planned,construction,Non-corridor,,Central Zone 1,night,True,1.5,1.2908685,100.0,71.3,High
FKID007215,planned,procession,Non-corridor,KCG HospitalJunction,Central Zone 2,night,True,1.5,24.368345,100.0,70.1,High
FKID002254,planned,procession,Non-corridor,,,night,True,1.5,16.474586,100.0,69.9,High
FKID001198,planned,protest,Non-corridor,,,night,True,1.5,3.1984982,100.0,69.6,High
FKID000433,planned,public_event,Non-corridor,,,,True,0.0,95.2936,100.0,65.6,Medium
FKID007173,planned,public_event,Non-corridor,KarnatakaBhavanJunction,Central Zone 2,,True,0.0,74.35885,100.0,65.1,Medium
FKID000894,planned,construction,Non-corridor,KrishnaFlourMill,Central Zone 2,,True,0.0,102.84006,100.0,65.1,Medium
FKID000994,planned,public_event,Non-corridor,,,,True,0.0,73.87944,100.0,65.1,Medium
FKID000898,planned,construction,Non-corridor,KrishnaFlourMill,Central Zone 2,,True,0.0,102.84006,100.0,65.1,Medium
FKID004632,planned,public_event,Non-corridor,,,,True,0.0,61.228176,100.0,64.8,Medium
FKID004088,planned,construction,Non-corridor,VishweswaraiahJunctio(Uttamsagar),North Zone 1,,True,0.0,89.806114,100.0,64.8,Medium
FKID003758,planned,public_event,Non-corridor,,,,True,0.0,56.01484,100.0,64.7,Medium
FKID001801,planned,public_event,Non-corridor,,,,True,0.0,57.021515,100.0,64.7,Medium
FKID001734,planned,public_event,Non-corridor,,,,True,0.0,39.617336,100.0,64.3,Medium
FKID008130,planned,public_event,Non-corridor,"PriyadarshiniHotel,Jayamahal,RT Nagar",,,True,0.0,33.44492,100.0,64.2,Medium
FKID000437,planned,public_event,Non-corridor,,,,True,0.0,30.327017,100.0,64.1,Medium
FKID003755,planned,public_event,Non-corridor,,,,True,0.0,27.238985,100.0,64.1,Medium
FKID005805,planned,public_event,Non-corridor,BanashankariBusStandJunc,South Zone 1,,True,0.0,23.88043,100.0,64.0,Medium
FKID005806,planned,public_event,Non-corridor,BanashankariBusStandJunc,South Zone 1,,True,0.0,23.88043,100.0,64.0,Medium
FKID004707,planned,public_event,Non-corridor,,West Zone 1,,True,0.0,26.484907,100.0,64.0,Medium
FKID001481,planned,public_event,Non-corridor,,,,True,0.0,25.683216,100.0,64.0,Medium
